kind,mode,seed,method,variant,coverage,success,cleared,virtual_time_s,distance_m,measure_calls,switches,clear_calls,failed_clear,solver_failures,optical_fallbacks,extra_measurements,macro_steps,sources
edge,3,93006,G25O,G25OR,S21,True,16,4676.918988437512,19349.59494218756,125,102,16,0,0,0,37,,16
edge,3,93007,A0,G25OR,S21,True,12,5057.618040923889,21148.09020461945,130,118,12,0,0,0,0,39,12
edge,3,93007,G25O,G25OR,S21,True,12,4609.512788524095,18627.56394262048,140,124,12,0,0,0,30,,12
edge,3,93008,A0,G25OR,S21,True,13,4456.211053767424,17796.055268837117,140,132,13,0,0,0,0,39,13
edge,3,93008,G25O,G25OR,S21,True,13,4596.929545175168,18134.647725875846,154,135,13,0,0,0,33,,13
edge,3,93009,A0,G25OR,S21,True,12,4634.3627439360625,19161.813719680315,125,117,12,0,0,0,0,33,12
edge,3,93009,G25O,G25OR,S21,True,12,4821.210426823701,19726.052134118505,139,121,12,0,0,0,28,,12
edge,3,93010,A0,G25OR,S21,True,15,4934.2371961683475,20916.18598084173,114,106,15,0,0,0,0,38,15
edge,3,93010,G25O,G25OR,S21,True,15,5078.557702333612,21047.78851166807,136,114,15,0,0,0,38,,15
edge,3,93011,A0,G25OR,S21,True,12,5125.214245470933,21631.07122735466,125,114,12,0,0,0,0,37,12
edge,3,93011,G25O,G25OR,S21,True,12,4795.993540822294,19604.96770411147,139,120,12,0,0,0,32,,12
edge,3,93012,A0,G25OR,S21,True,13,4539.820542062665,19079.102710313324,111,104,13,0,0,0,0,38,13
edge,3,93012,G25O,G25OR,S21,True,13,4232.932221291533,17154.66110645767,126,107,13,0,0,0,33,,13
edge,3,93013,A0,G25OR,S21,True,15,5393.065521092278,22865.32760546139,126,115,15,0,0,0,0,43,15
edge,3,93013,G25O,G25OR,S21,True,15,5007.484449841628,20557.42224920813,140,121,15,0,0,0,35,,15
edge,3,93014,A0,G25OR,S21,True,14,4969.7324148099915,21098.66207404995,115,105,14,0,0,0,0,44,14
edge,3,93014,G25O,G25OR,S21,True,14,4371.501785651599,17817.50892825799,125,113,14,0,0,0,33,,14
edge,3,93015,A0,G25OR,S21,True,16,5172.129946170018,21585.649730850088,131,120,16,0,0,0,0,46,16
edge,3,93015,G25O,G25OR,S21,True,16,5107.108850576293,20900.544252881456,145,122,16,0,0,0,37,,16
