kind,mode,seed,method,variant,coverage,success,cleared,virtual_time_s,distance_m,measure_calls,switches,clear_calls,failed_clear,solver_failures,optical_fallbacks,extra_measurements,macro_steps,sources
uniform,4,97040,G25O,G25OR,S25,True,11,6549.66573369672,23163.328668483606,311,307,11,0,0,0,39,,11
uniform,4,97041,A0,G25OR,S25,True,15,12032.94648056884,51569.73240284417,282,234,15,0,0,0,0,90,15
uniform,4,97041,G25O,G25OR,S25,True,15,7053.071741026139,28175.358705130708,225,218,15,0,0,0,48,,15
uniform,4,97042,A0,G25OR,S25,True,13,13844.057502886675,56445.28751443328,364,316,131,118,0,2,0,87,13
uniform,4,97042,G25O,G25OR,S25,True,13,7249.005897817883,27175.029489089422,294,279,13,0,0,0,44,,13
uniform,4,97043,A0,G25OR,S25,True,16,15897.731097183523,66238.6554859173,284,232,322,306,0,4,0,106,16
uniform,4,97043,G25O,G25OR,S25,True,16,6124.0329506036705,23615.164753018355,222,211,16,0,0,0,59,,16
uniform,4,97044,A0,G25OR,S25,True,12,17032.57399912839,67697.86999564133,388,326,401,389,0,5,0,97,12
uniform,4,97044,G25O,G25OR,S25,True,12,7380.356582038474,27276.782910192367,312,305,12,0,0,0,50,,12
uniform,4,97045,A0,G25OR,S25,True,14,12056.464361967925,50627.32180983953,281,234,88,74,0,1,0,88,14
uniform,4,97045,G25O,G25OR,S25,True,14,6779.183421868358,26680.917109341794,231,218,14,0,0,0,43,,14
uniform,4,97046,A0,G25OR,S25,True,11,13722.359195944635,53751.79597972297,393,349,212,201,0,2,0,76,11
uniform,4,97046,G25O,G25OR,S25,True,11,7038.04712244803,25320.23561224013,322,309,11,0,0,0,37,,11
uniform,4,97047,A0,G25OR,S25,True,14,12796.956338125976,52754.781690629854,356,312,42,28,0,1,0,87,14
uniform,4,97047,G25O,G25OR,S25,True,14,6877.977374321314,26294.886871606566,260,249,14,0,0,0,38,,14
uniform,4,97048,A0,G25OR,S25,True,16,12442.761032072176,53793.80516036085,264,218,38,22,0,1,0,90,16
uniform,4,97048,G25O,G25OR,S25,True,16,5139.808949467796,20294.04474733898,169,156,16,0,0,0,58,,16
uniform,4,97049,A0,G25OR,S25,True,10,12870.792193024663,51408.96096512323,384,343,102,92,0,1,0,70,10
uniform,4,97049,G25O,G25OR,S25,True,10,7164.3192876263665,26356.596438131834,309,298,10,0,0,0,32,,10
edge,3,97000,A0,G25OR,S25,True,13,5159.4241667320275,21657.12083366014,129,118,13,0,0,0,0,46,13
edge,3,97000,G25O,G25OR,S25,True,13,4829.998732086529,19684.993660432647,141,123,13,0,0,0,38,,13
edge,3,97001,A0,G25OR,S25,True,12,5011.264650871071,21036.323254355357,126,114,12,0,0,0,0,38,12
edge,3,97001,G25O,G25OR,S25,True,12,4453.35120260079,17981.756013003953,135,122,12,0,0,0,28,,12
edge,3,97002,A0,G25OR,S25,True,12,4964.648141587557,20573.240707937784,134,120,12,0,0,0,0,41,12
edge,3,97002,G25O,G25OR,S25,True,12,4850.251209431964,19781.256047159826,142,124,12,0,0,0,30,,12
edge,3,97003,A0,G25OR,S25,True,12,5082.613445801313,21088.067229006556,136,125,12,0,0,0,0,37,12
edge,3,97003,G25O,G25OR,S25,True,12,4301.18075461085,16940.903773054255,145,128,12,0,0,0,27,,12
edge,3,97004,A0,G25OR,S25,True,10,4648.396743084187,19196.983715420934,128,119,10,0,0,0,0,34,10
edge,3,97004,G25O,G25OR,S25,True,10,4200.78663904192,16848.933195209604,132,121,10,0,0,0,21,,10
edge,3,97005,A0,G25OR,S25,True,13,4764.076870715664,19915.384353578316,121,111,13,0,0,0,0,41,13
edge,3,97005,G25O,G25OR,S25,True,13,4847.053799773333,20025.268998866664,133,112,13,0,0,0,33,,13
edge,3,97006,A0,G25OR,S25,True,12,4892.565941134797,20517.82970567398,123,114,12,0,0,0,0,36,12
edge,3,97006,G25O,G25OR,S25,True,12,4486.673280694357,18333.366403471784,129,115,12,0,0,0,23,,12
edge,3,97007,A0,G25OR,S25,True,12,4587.671569218342,19423.357846091705,109,98,12,0,0,0,0,38,12
edge,3,97007,G25O,G25OR,S25,True,12,4268.937709120244,17494.688545601224,121,105,12,0,0,0,31,,12
edge,3,97008,A0,G25OR,S25,True,16,5299.943634567216,22214.718172836077,131,122,16,0,0,0,0,49,16
edge,3,97008,G25O,G25OR,S25,True,16,4927.088837958796,20035.44418979398,144,120,16,0,0,0,39,,16
edge,3,97009,A0,G25OR,S25,True,11,4926.32442424977,20626.622121248856,126,116,11,0,0,0,0,34,11
edge,3,97009,G25O,G25OR,S25,True,11,4363.780701987729,17623.903509938656,133,119,11,0,0,0,23,,11
edge,3,97010,A0,G25OR,S25,True,11,4964.352891528416,20891.764457642083,124,111,11,0,0,0,0,39,11
edge,3,97010,G25O,G25OR,S25,True,11,4599.977156255384,18869.885781276924,131,116,11,0,0,0,28,,11
edge,3,97011,A0,G25OR,S25,True,13,4990.369406957292,20511.847034786464,139,128,13,0,0,0,0,44,13
edge,3,97011,G25O,G25OR,S25,True,13,4685.314479435321,18816.572397176613,146,127,13,0,0,0,31,,13
edge,3,97012,A0,G25OR,S25,True,12,4810.058333166315,20055.291665831577,125,114,12,0,0,0,0,37,12
edge,3,97012,G25O,G25OR,S25,True,12,4623.320957686198,18811.60478843099,136,121,12,0,0,0,29,,12
edge,3,97013,A0,G25OR,S25,True,16,4874.972523708731,20704.862618543655,110,104,16,0,0,0,0,40,16
edge,3,97013,G25O,G25OR,S25,True,16,4720.853040432486,19409.265202162434,130,109,16,0,0,0,37,,16
edge,3,97014,A0,G25OR,S25,True,10,4216.035199973977,17445.17599986989,114,107,10,0,0,0,0,30,10
edge,3,97014,G25O,G25OR,S25,True,10,4270.254707147049,17396.27353573525,126,111,10,0,0,0,25,,10
edge,3,97015,A0,G25OR,S25,True,11,4902.400349923552,20272.001749617753,134,123,11,0,0,0,0,33,11
edge,3,97015,G25O,G25OR,S25,True,11,4619.5027251661495,18632.513625830736,142,128,11,0,0,0,23,,11
