mode,seed,method,sources,success,cleared,virtual_time_s,distance_m,measure_calls,clear_calls,failed_clear
3,160038,G25OR,16,True,16,4740.279195651799,20051.395978258995,111,16,0
3,160038,O1,16,True,16,4597.279195651799,20051.395978258995,87,16,0
3,160038,O2,16,True,16,3462.285700500087,14746.428502500432,73,16,0
3,160038,O3,16,True,16,3322.285700500087,14746.428502500432,49,16,0
3,160038,O0,16,True,16,2090.611329409173,10053.056647045863,0,16,0
3,160039,G25OR,15,True,15,4483.581129811569,18217.90564905783,130,15,0
3,160039,O1,15,True,15,4273.581129811569,18217.90564905783,95,15,0
3,160039,O2,15,True,15,3937.3183004565067,16406.59150228253,98,15,0
3,160039,O3,15,True,15,3729.3183004565067,16406.59150228253,63,15,0
3,160039,O0,15,True,15,2057.133734239977,9910.668671199886,0,15,0
3,160040,G25OR,11,True,11,3928.601420626202,16143.007103131013,108,11,0
3,160040,O1,11,True,11,3551.601420626202,16143.007103131013,45,11,0
3,160040,O2,11,True,11,3297.423859658431,13817.119298292153,81,11,0
3,160040,O3,11,True,11,2629.258063045498,12336.290315227492,18,11,0
3,160040,O0,11,True,11,1812.9154992742713,8789.577496371357,0,11,0
3,160041,G25OR,11,True,11,4616.440410837772,19257.20205418886,119,11,0
3,160041,O1,11,True,11,4238.440410837772,19257.20205418886,56,11,0
3,160041,O2,11,True,11,3935.9194728735097,16764.597364367546,89,11,0
3,160041,O3,11,True,11,3521.10604033472,16570.5302016736,26,11,0
3,160041,O0,11,True,11,1976.7510292562638,9608.755146281319,0,11,0
3,160042,G25OR,15,True,15,4913.763456619575,20128.817283097862,139,15,0
3,160042,O1,15,True,15,4703.763456619575,20128.817283097862,104,15,0
3,160042,O2,15,True,15,3864.0473316949697,15975.236658474843,100,15,0
3,160042,O3,15,True,15,3483.778211870052,15123.891059350257,65,15,0
3,160042,O0,15,True,15,1960.1810255506125,9425.905127753063,0,15,0
3,160043,G25OR,13,True,13,4104.357606824855,16671.788034124278,118,13,0
3,160043,O1,13,True,13,3810.3576068248553,16671.788034124278,69,13,0
3,160043,O2,13,True,13,3817.9141538121676,16214.57076906084,86,13,0
3,160043,O3,13,True,13,3465.6869547250753,15918.434773625379,37,13,0
3,160043,O0,13,True,13,1704.658400055603,8198.292000278016,0,13,0
3,160044,G25OR,12,True,12,3913.0129900783786,15765.064950391896,117,12,0
3,160044,O1,12,True,12,3578.0129900783786,15765.064950391896,61,12,0
