mode,seed,kind,sources,success,cleared,virtual_time_s,time_per_source_s,distance_m,measures,switches,clear_calls,failed_clear,cost_identity_error_s
4,160020,uniform,15,True,15,7140.574577879298,476.0383051919532,26682.872889396476,291,274,15,0,2.7284841053187847e-12
4,160021,edge,10,True,10,7725.93692649488,772.593692649488,28289.6846324744,340,318,10,0,0.0
4,160022,uniform,15,True,15,5944.260185076928,396.2840123384619,22811.300925384632,219,212,15,0,1.8189894035458565e-12
4,160023,uniform,14,True,14,5944.531191777752,424.609370841268,22667.655958888758,225,213,15,1,0.0
4,160024,edge,15,True,15,9663.14653991279,644.2097693275193,38110.732699563945,338,273,16,1,1.8189894035458565e-12
4,160025,uniform,13,True,13,5883.068083892321,452.54369876094773,20920.3404194616,274,264,13,0,9.094947017729282e-13
4,160026,uniform,13,True,13,5929.576545234114,456.1212727103165,21142.882726170577,274,266,13,0,-1.8189894035458565e-12
4,160027,edge,15,True,15,9342.623260058794,622.8415506705862,36583.11630029396,336,271,15,0,1.8189894035458565e-12
4,160028,uniform,13,True,13,6821.851995243738,524.7578457879798,24639.259976218684,307,294,13,0,1.8189894035458565e-12
4,160029,uniform,16,True,16,5999.161836721386,374.9476147950866,23040.80918360694,222,201,16,0,-1.8189894035458565e-12
4,160030,edge,16,True,16,8613.84258348649,538.3651614679056,35329.21291743246,259,173,16,0,-1.8189894035458565e-12
4,160031,uniform,14,True,14,6989.491372730843,499.2493837664888,25642.456863654206,300,291,14,0,1.8189894035458565e-12
4,160032,uniform,10,True,10,6285.735651470021,628.5735651470021,22108.678257350108,305,289,10,0,0.0
4,160033,edge,12,True,12,8531.213988076668,710.934499006389,32411.069940383342,336,306,13,1,0.0
4,160034,uniform,15,True,15,6578.571734014775,438.5714489343183,24782.858670073867,260,247,15,0,1.8189894035458565e-12
4,160035,uniform,15,True,15,5769.21310958989,384.6142073059927,20806.065547949464,257,248,15,0,-2.7284841053187847e-12
4,160036,edge,14,True,14,8964.862114428988,640.3472938877849,34919.31057214494,325,286,14,0,0.0
4,160037,uniform,10,True,10,6397.888812255976,639.7888812255976,22124.44406127988,322,313,10,0,0.0
4,160038,uniform,16,True,16,5573.740553915585,348.3587846197241,22628.702769577918,164,148,16,0,1.8189894035458565e-12
4,160039,edge,15,True,15,10097.217552937329,673.1478368624886,38931.087764686694,386,306,15,0,-9.094947017729282e-12
4,160040,uniform,11,True,11,5944.0061632207,540.3641966564272,20445.0308161035,302,290,11,0,0.0
4,160041,uniform,11,True,11,6421.552586882973,583.7775078984521,22197.762934414866,323,309,12,1,-9.094947017729282e-13
4,160042,edge,15,True,15,9780.928043392894,652.0618695595263,37949.64021696447,365,291,15,0,0.0
4,160043,uniform,13,True,13,6357.615350500194,489.04733465386107,23198.076752500972,277,268,13,0,-9.094947017729282e-13
4,160044,uniform,12,True,12,6738.543711023624,561.5453092519687,23302.718555118114,338,328,12,0,1.8189894035458565e-12
4,160045,edge,11,True,11,8519.893206509178,774.5357460462889,32149.466032545883,345,310,11,0,1.8189894035458565e-12
4,160046,uniform,15,True,15,6290.853657425354,419.3902438283569,24514.26828712677,220,213,15,0,0.0
4,160047,uniform,16,True,16,5782.62705069898,361.4141906686863,22058.135253494896,217,206,16,0,9.094947017729282e-13
4,160048,edge,12,True,12,7861.7052513119725,655.1421042759977,29588.52625655986,318,294,12,0,0.0
4,160049,uniform,14,True,14,6163.312836484368,440.23663117745485,22256.564182421844,276,262,14,0,-9.094947017729282e-13
4,260000,edge,11,True,11,9364.707540307883,851.3370491188984,35473.53770153943,376,335,11,0,-3.637978807091713e-12
4,260001,uniform,10,True,10,6539.762496407087,653.9762496407087,22283.812482035446,341,328,10,0,-1.8189894035458565e-12
4,260002,uniform,11,True,11,6270.191933148011,570.017448468001,21610.959665740058,317,308,11,0,0.0
4,260003,edge,14,True,14,9316.945441888607,665.4961029920433,36549.72720944304,331,282,14,0,0.0
4,260004,uniform,15,True,15,5667.291294720599,377.8194196480399,20856.45647360299,238,231,15,0,9.094947017729282e-13
4,260005,uniform,10,True,10,6137.249559671256,613.7249559671257,21526.24779835627,299,287,10,0,1.8189894035458565e-12
4,260006,edge,15,True,15,9079.649436188061,605.3099624125374,35493.24718094029,326,276,15,0,3.637978807091713e-12
4,260007,uniform,13,True,13,6466.885018221129,497.4526937093176,24254.42509110565,261,246,13,0,-9.094947017729282e-13
4,260008,uniform,16,True,16,6448.2951780654,403.0184486290875,25686.475890327,208,191,16,0,0.0
4,260009,edge,10,True,10,8603.226494372955,860.3226494372955,31071.132471864777,398,346,11,1,0.0
4,260010,uniform,10,True,10,6721.16936583233,672.116936583233,22780.846829161645,354,345,10,0,9.094947017729282e-13
4,260011,uniform,13,True,13,6557.40709106218,504.41593008170616,24347.035455310895,272,263,13,0,9.094947017729282e-13
4,260012,edge,15,True,15,8683.542757116995,578.9028504744663,34012.713785585,308,266,15,0,-5.4569682106375694e-12
4,260013,uniform,10,True,10,6613.911605251928,661.3911605251928,22074.558026259634,361,344,10,0,1.8189894035458565e-12
4,260014,uniform,12,True,12,7429.5863778547655,619.1321981545638,27277.93188927382,321,309,12,0,1.8189894035458565e-12
4,260015,edge,12,True,12,8226.334321754679,685.5278601462232,30486.6716087734,352,309,12,0,0.0
4,260016,uniform,15,True,15,5580.0573090269945,372.00382060179965,20955.286545134983,221,209,15,0,-1.8189894035458565e-12
4,260017,uniform,14,True,14,5919.041411658227,422.78867226130194,21130.207058291136,272,263,14,0,0.0
4,260018,edge,11,True,11,9432.908115142873,857.5371013766248,35434.540575714374,392,331,11,0,-1.8189894035458565e-12
4,260019,uniform,16,True,16,5495.575492535776,343.473468283486,22302.877462678873,162,145,16,0,1.8189894035458565e-12
4,260020,uniform,15,True,15,6126.109130529792,408.40727536865285,21785.545652648943,284,274,15,0,3.637978807091713e-12
4,260021,edge,11,True,11,8891.568829452312,808.3244390411193,33697.844147261574,355,319,12,1,-3.637978807091713e-12
4,260022,uniform,15,True,15,6638.66902147763,442.5779347651753,25303.345107388148,253,238,15,0,0.0
4,260023,uniform,14,True,14,6017.71307854256,429.8366484673257,22683.5653927128,237,226,14,0,0.0
4,260024,edge,12,True,12,9061.89128090789,755.1576067423242,34574.45640453947,355,312,12,0,-3.637978807091713e-12
4,260025,uniform,14,True,14,6158.769023251198,439.9120730893713,22538.845116255987,265,256,14,0,0.0
4,260026,uniform,11,True,11,5675.120458459459,515.9200416781326,19735.602292297288,281,268,11,0,9.094947017729282e-13
4,260027,edge,14,True,14,9414.857540347542,672.4898243105388,36789.2877017377,340,287,14,0,1.8189894035458565e-12
4,260028,uniform,15,True,15,6143.527677229605,409.568511815307,23267.638386148028,237,230,15,0,-9.094947017729282e-13
4,260029,uniform,11,True,11,6568.0869472523345,597.0988133865759,23390.434736261675,309,290,11,0,-9.094947017729282e-13
4,260030,edge,13,True,13,8980.155982598892,690.781229430684,34965.779912994476,325,297,13,0,-3.637978807091713e-12
4,260031,uniform,15,True,15,6394.374982527791,426.2916655018527,24976.87491263896,222,214,15,0,-9.094947017729282e-13
4,260032,uniform,10,True,10,6210.720185849786,621.0720185849785,20998.60092924893,329,316,10,0,0.0
4,260033,edge,16,True,16,7799.837116570166,487.48981978563535,31809.185582850805,239,163,16,0,4.547473508864641e-12
4,260034,uniform,11,True,11,5958.222905231728,541.6566277483389,20551.114526158646,301,288,11,0,-9.094947017729282e-13
4,260035,uniform,12,True,12,6409.360439804189,534.1133699836824,23321.802199020967,284,265,12,0,-4.547473508864641e-12
4,260036,edge,11,True,11,8803.239796916307,800.2945269923915,33431.19898458152,349,317,11,0,3.637978807091713e-12
4,260037,uniform,10,True,10,6805.443080381006,680.5443080381007,23817.21540190503,334,322,10,0,9.094947017729282e-13
4,260038,uniform,15,True,15,6686.587629275151,445.7725086183434,24667.938146375753,281,273,15,0,0.0
4,260039,edge,16,True,16,8119.491410682874,507.4682131676796,33367.457053414386,240,166,16,0,-3.637978807091713e-12
4,260040,uniform,11,True,11,6206.767925597162,564.2516295997419,22118.839627985817,290,278,11,0,-1.8189894035458565e-12
4,260041,uniform,13,True,13,6992.224188471792,537.8633991132148,25631.120942358953,302,291,13,0,1.8189894035458565e-12
4,260042,edge,16,True,16,8775.936887182776,548.4960554489235,36234.68443591391,254,176,17,1,-5.4569682106375694e-12
4,260043,uniform,12,True,12,6476.996709591313,539.7497257992761,23484.983547956566,288,280,12,0,0.0
4,260044,uniform,14,True,14,7369.291794187918,526.377985299137,28401.458970939602,272,259,14,0,-2.7284841053187847e-12
