seed,mode,variant,kind,sources,cleared,virtual_s,distance_m,measure_calls,switches,failed_clear,clear_calls,visited,opportunistic,wall_s
91056,4,G25,edge,16,16,10744.057712185768,38710.28856092891,505,397,0,16,24,0,0.008575677871704102
91057,4,G25,edge,13,13,9702.636742857418,34498.1837142871,468,398,0,13,25,0,0.005910396575927734
91058,4,G25,edge,10,10,9818.246903771493,34501.23451885744,490,418,0,10,25,0,0.00546574592590332
91059,4,G25,edge,16,16,9900.505087677406,35482.525438387056,471,369,0,16,22,0,0.008272409439086914
91060,4,G25,edge,14,14,10370.283127157656,37326.41563578828,488,395,0,14,25,0,0.007535696029663086
91061,4,G25,edge,14,14,10766.690185548681,38543.45092774344,515,413,0,14,25,0,0.007977962493896484
91062,4,G25,edge,15,15,10623.277573803416,37731.38786901709,515,427,0,15,25,0,0.007014036178588867
91063,4,G25,edge,10,10,9436.076798720565,32420.383993602823,494,432,0,10,25,0,0.007593870162963867
91064,4,G25,edge,14,14,10476.950381714749,37299.75190857374,507,412,0,14,25,0,0.006941318511962891
91065,4,G25,edge,11,11,9925.106240986484,34825.53120493244,496,425,0,11,25,0,0.005656003952026367
91066,4,G25,edge,15,15,11104.769300540676,40473.84650270338,506,405,0,15,25,0,0.0071544647216796875
91067,4,G25,edge,13,13,10076.53449374441,35937.67246872206,485,399,0,13,25,0,0.006930828094482422
91068,4,G25,edge,14,14,10158.098408144318,35650.49204072162,508,418,0,14,25,0,0.0066721439361572266
91069,4,G25,edge,15,15,10698.959347739876,38574.796738699384,500,409,0,15,25,0,0.0071141719818115234
91070,4,G25,edge,14,14,10676.468771834428,37307.34385917214,541,440,0,14,25,0,0.007873773574829102
91071,4,G25,edge,13,13,10340.117993066295,36180.589965331485,522,429,0,13,25,0,0.006344795227050781
91072,4,G25,edge,12,12,9301.652065980454,31403.26032990229,504,441,0,12,25,0,0.009970664978027344
91073,4,G25,edge,10,10,9129.369171414754,31401.845857073786,478,409,0,10,25,0,0.00501704216003418
91074,4,G25,edge,11,11,9928.00675518572,34980.03377592861,493,412,0,11,25,0,0.008021831512451172
91075,4,G25,edge,14,14,9760.500361063718,33807.50180531859,502,419,0,14,25,0,0.00699305534362793
91076,4,G25,edge,10,10,10396.821172725957,36904.10586362977,509,421,0,10,25,0,0.0052051544189453125
91077,4,G25,edge,11,11,9780.195266140885,34605.97633070444,481,399,0,11,25,0,0.006360530853271484
91078,4,G25,edge,10,10,9116.750239576886,30788.75119788444,496,429,0,10,25,0,0.004683017730712891
91079,4,G25,edge,11,11,9445.742533534241,32648.71266767119,489,416,0,11,25,0,0.0058290958404541016
91080,4,G25,edge,14,14,10519.80558091197,37449.027904559895,509,415,0,14,25,0,0.008249998092651367
91081,4,G25,edge,14,14,10315.85728855321,36654.28644276605,499,420,0,14,25,0,0.00667119026184082
91082,4,G25,edge,15,15,10148.140354180823,35980.70177090414,492,417,0,15,25,0,0.008002519607543945
91083,4,G25,edge,10,10,9261.050120606518,30520.250603032586,531,452,0,10,25,0,0.005456686019897461
91084,4,G25,edge,15,15,10977.586634535164,40167.93317267584,496,389,0,15,25,0,0.007678508758544922
91085,4,G25,edge,10,10,9721.50656921517,33467.532846075854,509,433,0,10,25,0,0.00632786750793457
91086,4,G25,edge,10,10,9803.641795829872,33338.20897914936,528,446,0,10,25,0,0.005172014236450195
91087,4,G25,edge,13,13,9615.062962936663,33470.314814683305,489,411,0,13,25,0,0.008137941360473633
91088,4,G25,edge,14,14,10881.453720249672,39017.268601248405,518,418,0,14,25,0,0.0071489810943603516
91089,4,G25,edge,11,11,9705.504759865651,33227.523799328264,514,435,0,11,25,0,0.005516767501831055
91090,4,G25,edge,10,10,9544.087552181047,32945.437760905246,498,415,0,10,25,0,0.006071567535400391
91091,4,G25,edge,12,12,9602.643604783627,33708.21802391814,480,401,0,12,25,0,0.0060999393463134766
91092,4,G25,edge,10,10,9179.844387607138,31284.221938035687,490,423,0,10,25,0,0.004716157913208008
91093,4,G25,edge,13,13,10251.152005619106,36460.76002809552,497,409,0,13,25,0,0.009488821029663086
91094,4,G25,edge,11,11,9947.55513215397,34792.775660769854,503,419,0,11,25,0,0.005927324295043945
91095,4,G25,edge,16,16,10536.323685102885,37271.61842551445,517,417,0,16,24,0,0.008445501327514648
91096,4,G25,edge,15,15,10652.24682077518,38031.23410387592,511,416,0,15,25,0,0.007563352584838867
91097,4,G25,edge,10,10,9463.15683162916,33225.7841581458,472,408,0,10,25,0,0.005796670913696289
91098,4,G25,edge,11,11,10014.254906718777,34656.2745335939,520,428,0,11,25,0,0.006034374237060547
91099,4,G25,edge,13,13,10125.3546290031,35846.77314501547,496,411,0,13,25,0,0.0076923370361328125
91000,4,G25O,edge,15,15,10120.6794938303,35848.39746915149,492,416,0,15,25,12,0.008517265319824219
91001,4,G25O,edge,11,11,9514.962215811396,32804.81107905698,493,434,0,11,25,9,0.006070613861083984
91002,4,G25O,edge,11,11,9319.385752632212,31526.928763161046,503,444,0,11,25,10,0.008455038070678711
91003,4,G25O,edge,10,10,8971.692135317428,29953.460676587176,497,446,0,10,25,10,0.005999326705932617
91004,4,G25O,edge,12,12,9933.891122027318,34204.4556101366,516,453,0,12,25,10,0.007794380187988281
91005,4,G25O,edge,14,14,9968.849296920582,35754.246484602925,469,403,0,14,25,10,0.007167816162109375
91006,4,G25O,edge,10,10,9130.642902818443,30493.214514092244,506,452,0,10,25,7,0.005421161651611328
91007,4,G25O,edge,16,16,9008.416805979148,31342.084029895756,452,400,0,16,24,13,0.007693767547607422
91008,4,G25O,edge,10,10,8902.865179261767,30209.325896308856,477,426,0,10,25,9,0.005627632141113281
91009,4,G25O,edge,16,16,10595.010926495997,37425.05463248,520,430,0,16,25,13,0.009161949157714844
