group,problem,run_id,case_code,sources,cleared,full_clear,virtual_time_s,avg_clear_time_s,program_run_s,measure_calls,switches,clear_failures,end_reason
OldPlanB,4,66,9VD7-AZY9-QFS7-SJDP,10,10,1,14628.20955,1462.820955,6.275,402,355,280,user_exit
OldPlanB,4,67,6VN5-EQ2G-MM62-356U,10,10,1,13106.311343,1310.631134,5.111,421,370,16,user_exit
OldPlanB,4,68,ZWZK-9B8Y-MT4G-3Q8F,10,10,1,12693.059878,1269.305988,5.451,428,378,106,user_exit
OldPlanB,4,69,WPSA-2BGM-HRA3-WGJ3,13,13,1,16420.441143,1263.110857,6.891,379,324,359,user_exit
OldPlanB,4,70,N2PA-TCWC-PKPW-2KHV,10,10,1,12252.145679,1225.214568,5.092,385,340,90,user_exit
OldPlanB,4,71,DWHS-38DS-P6P6-FDBT,10,10,1,12747.014542,1274.701454,4.689,392,345,103,user_exit
OldPlanB,4,72,ZPQN-XKZA-YDSS-8JC2,12,12,1,14609.000723,1217.416727,4.921,363,308,94,user_exit
OldPlanB,4,73,A9JA-B2ZV-5ZMV-KRG4,13,13,1,13521.194108,1040.091854,5.429,352,299,90,user_exit
OldPlanB,4,74,TFZ2-6XFJ-F864-PN6G,10,10,1,12019.717181,1201.971718,4.462,360,318,96,user_exit
OldPlanB,4,75,FTYJ-AUNB-4SC7-WWJC,16,16,1,12111.516397,756.969775,4.239,269,226,0,user_exit
OldPlanB,4,76,N78Y-P44J-G4GJ-V95V,11,11,1,13169.922861,1197.265715,4.932,397,338,76,user_exit
G25O,4,189,UXHW-B9FS-WGFD-FMU6,13,13,1,7253.225831,557.940449,2.532,266,257,0,user_exit
G25O,4,190,YJ65-4TW4-63WT-FJZW,13,13,1,7085.351924,545.027071,2.884,287,276,0,user_exit
G25O,4,191,J7H5-463K-5WNX-8NMD,15,15,1,7037.91527,469.194351,2.676,266,258,0,user_exit
G25O,4,192,BGET-FSBZ-SB5S-3GU7,12,12,1,7452.61683,621.051402,3.014,284,271,0,user_exit
G25O,4,193,YZTV-4QCA-9UC5-E68U,10,10,1,7381.836048,738.183605,4.009,355,347,0,user_exit
G25O,4,194,U2JV-BD7Z-Z585-FWNZ,15,15,1,7477.478507,498.498567,3.565,307,300,1,user_exit
G25O,4,195,THYJ-ZWZV-7RQY-265P,16,16,1,6527.641794,407.977612,2.767,234,218,1,user_exit
G25O,4,196,V8UN-T8K7-PE5T-AZ9M,14,14,1,7726.021002,551.858643,3.005,273,262,0,user_exit
G25O,4,197,K876-P3E6-Y8Q2-UU6N,15,15,1,7177.875228,478.525015,2.898,231,222,0,user_exit
G25O,4,198,P8HW-DGYA-CQ3K-JZVJ,15,15,1,7945.447937,529.696529,2.778,253,246,0,user_exit
G25O,4,199,MH5C-RFHU-M5Y3-3TUA,15,15,1,7591.816076,506.121072,3.318,300,280,0,user_exit
G25O,4,200,MH28-QZR6-HZKH-XWG5,15,15,1,7400.702188,493.380146,3.193,284,277,0,user_exit
G25O,4,201,Y6Z9-5EYM-VNNF-447N,14,14,1,7235.737032,516.838359,2.626,282,270,0,user_exit
G25O,4,202,BY7H-YD76-ARB6-HH97,13,13,1,6890.680975,530.052383,2.341,234,222,0,user_exit
G25O,4,203,RCDH-EPAU-QSW9-RVNE,11,11,1,7312.615912,664.783265,3.692,338,330,0,user_exit
G25O,4,204,AFG5-U3NW-A8G4-AMYV,11,11,1,7326.935015,666.085001,2.984,314,306,0,user_exit
G25O,4,205,QU4B-BR74-AUNK-6CZF,10,10,1,7256.091412,725.609141,2.895,313,302,0,user_exit
G25O,4,206,CQVQ-GDQD-2WHV-MECT,16,16,1,4458.468007,278.65425,1.667,150,129,0,user_exit
G25O,4,207,YAGF-SEMV-XBYU-A56Y,15,15,1,7778.963078,518.597539,3.83,292,280,0,user_exit
G25O,4,208,2B4S-SGE3-E5PV-4MTC,12,12,1,6877.084665,573.090389,2.811,278,264,0,user_exit
G25O,4,209,C6UT-J663-R4WY-JRCY,10,10,1,7279.750525,727.975053,3.068,319,308,0,user_exit
G25O,4,210,JNP3-WMFH-J4SU-P3QM,12,12,1,6937.27305,578.106087,2.908,257,245,0,user_exit
G25O,4,211,NSF6-HVMJ-QW3S-3Y44,12,12,1,7754.955624,646.246302,3.14,316,301,0,user_exit
G25O,4,212,R8MN-U3BR-H3G7-ZKQ9,11,11,1,6851.945469,622.904134,2.802,292,285,0,user_exit
G25O,4,213,UPZB-5SFD-JE4N-7GRJ,12,12,1,6846.809203,570.567434,2.713,287,275,0,user_exit
G25O,4,214,9YK9-9SQQ-8UDF-STFX,10,10,1,7534.128633,753.412863,3.745,342,328,0,user_exit
G25O,4,215,GKX6-BWRU-88TN-NQ5C,11,11,1,6778.769113,616.251738,2.988,301,292,0,user_exit
G25O,4,216,XSKU-P438-X5ZZ-TR8X,13,13,1,7799.935987,599.995076,3.91,325,316,0,user_exit
G25O,4,217,CPVG-SBVW-588M-YFBJ,12,12,1,7081.862554,590.155213,2.627,267,257,0,user_exit
G25O,4,218,4UY2-77B7-ATH2-ZJCN,10,10,1,7207.750042,720.775004,3.11,304,287,0,user_exit
G25O,4,219,C7FQ-VD77-QHUG-3WMX,12,12,1,7269.327455,605.777288,2.212,280,269,0,user_exit
G25O,4,220,PD97-7TA8-9QWJ-2FCT,16,16,1,6215.345712,388.459107,2.677,219,206,0,user_exit
G25O,4,221,QMY7-T6JG-QXED-7FUW,14,14,1,7291.319422,520.80853,2.887,287,278,0,user_exit
G25O,4,222,ZMZ2-J2DM-2AEQ-E9Q4,14,14,1,7178.135891,512.723992,3.004,235,224,0,user_exit
G25O,4,223,SK68-5J72-N78T-2UFV,11,11,1,7101.656161,645.605106,3.671,284,270,0,user_exit
G25O,4,224,NEZN-U2JK-4CAX-BY83,14,14,1,9222.053093,658.718078,3.34,369,332,0,user_exit
G25O,4,225,APR7-KE77-27DS-G6YY,13,13,1,7055.892937,542.760995,2.801,261,254,0,user_exit
G25O,4,226,7PRX-GV98-VMYQ-P92Y,14,14,1,7545.869305,538.990665,3.282,300,286,0,user_exit
G25O,4,227,83QB-8UPY-8E7A-ZSD3,14,14,1,7908.520498,564.894321,3.101,317,307,0,user_exit
G25O,4,228,Z7UZ-JVWB-JWKP-NQXS,16,16,1,6122.101743,382.631359,2.703,217,209,0,user_exit
G25O,4,229,9Z4D-GXX7-K26G-36Y5,12,12,1,7625.64962,635.470802,2.723,311,298,0,user_exit
G25O,4,230,F3QE-FHTA-6T9S-CPNA,14,14,1,7677.688905,548.40635,3.623,332,315,0,user_exit
G25O,4,231,ND46-XM3W-BRMV-VZGN,15,15,1,7910.322244,527.354816,2.38,278,253,0,user_exit
G25O,4,232,AU36-GTRD-PTPR-C3GT,10,10,1,7239.133885,723.913388,3.536,331,319,0,user_exit
G25O,4,233,RQHG-NGXC-8XW5-53DK,10,10,1,7154.862216,715.486222,3.773,331,322,0,user_exit
G25O,4,234,9JBA-6H9Q-SWWE-JH5A,10,10,1,7992.919691,799.291969,3.161,375,352,0,user_exit
G25O,4,235,MBR7-R9DM-U58E-GK9X,10,10,1,7387.270768,738.727077,2.991,319,307,0,user_exit
G25O,4,236,S7ZM-RXXF-8AYC-8HPE,13,13,1,7340.217864,564.632143,3.334,274,266,0,user_exit
G25O,4,237,9Q7F-HG65-AA3C-5Y6Z,14,14,1,7451.013729,532.215266,3.118,238,229,0,user_exit
G25O,4,238,YP4R-X94W-VXE9-DF9Z,14,14,1,7224.060606,516.004329,2.585,234,225,0,user_exit
G25O,4,239,U7KP-UFDY-RVY7-4JJQ,10,10,1,7687.752689,768.775269,3.805,337,331,0,user_exit
G25O,4,240,2CJU-28B7-4AS5-6Q52,12,12,1,7830.952324,652.57936,3.033,313,290,0,user_exit
